,Ligand SMILES,IC50 (nM),ref,inner_ID
0,Cn1cnc(Cn2c(=O)[nH]/c(=N\c3cc4cn(C)nc4cc3Cl)n(Cc3cc(F)c(F)cc3F)c2=O)n1,0.013,Pubchem&Chembl,id_0
1,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)[C@@H]1CCCN1C,0.03,BindingDB,id_1
2,C[C@H](NC(=O)[C@@H](c1ccccc1)N(C(=O)c1ccco1)c1ccc(-c2ccccc2)cc1)c1ccccc1,0.2,Pubchem&Chembl,id_2
3,COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)CO)cc12,0.27,Pubchem&Chembl,id_3
4,COc1cccc2[nH]c(cc12)C(=O)NC(CC(C)C)C(=O)NC(CC1CCNC1=O)C(=O)CO,0.27,BindingDB,id_4
5,O=C(NCc1ccco1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,0.35,Pubchem&Chembl,id_5
6,O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,0.4,Pubchem&Chembl,id_6
7,O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cccnc2)CCN1c1ccc(Cl)c(Cl)c1,0.4,Pubchem&Chembl,id_7
8,O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccc(Cl)cc1Cl,0.44,Pubchem&Chembl,id_8
9,O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cncc3ccccc23)CCN1c1ccc(Cl)c(Cl)c1,0.44,Pubchem&Chembl,id_9
10,O=C(NCc1ccco1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccc(Cl)cc1Cl,0.48,Pubchem&Chembl,id_10
11,CC(C)C[C@H](N(C)C(=O)C(=O)Nc1ccc(F)c(F)c1)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21,0.55,BindingDB,id_11
12,CC(C)C[C@H](N(C)C(=O)C(=O)Nc1cc(F)c(F)c(F)c1)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21,0.55,BindingDB,id_12
13,CN([C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21)C(=O)C(=O)Nc1ccccn1,0.55,BindingDB,id_13
14,CN([C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21)C(=O)C(=O)N1CCCCC1,0.55,BindingDB,id_14
15,CC(C)C[C@H](N(C)C(=O)C(=O)Nc1nc2ccccc2[nH]1)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21,0.55,BindingDB,id_15
16,O=C(NCc1ccco1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccc(Cl)cc1Cl,0.59,Pubchem&Chembl,id_16
17,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1ccncc1,0.6,BindingDB,id_17
18,O=C(NCc1cccs1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,0.61,Pubchem&Chembl,id_18
19,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,0.79,Pubchem&Chembl,id_19
20,O=C(NCc1ccco1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,0.79,Pubchem&Chembl,id_20
21,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)Cc1c(C)ncnc1C,0.93,BindingDB,id_21
22,COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCCNC3=O)C(=O)COC(=O)c3c(C(F)(F)F)cccc3C(F)(F)F)cc12,1,Pubchem&Chembl,id_22
23,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C(=O)COC(=O)c1c(cccc1C(F)(F)F)C(F)(F)F,1,BindingDB,id_23
24,COC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)C2(C)C)C(C)(C)C,1,BindingDB,id_24
25,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C=O)C,1.08,Pubchem&Chembl,id_25
26,C[C@H]([C@@H](C(=O)C[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OCC2=CC=CC=C2)OC(C)(C)C,1.3,Pubchem&Chembl,id_26
27,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)[C@H]1CCCCN1C,1.42,BindingDB,id_27
28,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)CO)C,1.59,Pubchem&Chembl,id_28
29,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)C2=CC3=C(N2)C=CC=C3F,1.95,Pubchem&Chembl,id_29
30,Cc1cncc(-n2c(=O)nc(Nc3cc4cn(C)nc4cc3Cl)n(Cc3cc(C#N)c(F)cc3C)c2=O)c1,2,Pubchem&Chembl,id_30
31,NC(=O)CCN(NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1)C(=O)CCl,2,Pubchem&Chembl,id_31
32,NC(=O)CCN(NC(=O)[C@H](CC1CCCCC1)NC(=O)OCc1ccccc1)C(=O)[C@H](F)Cl,2,Pubchem&Chembl,id_32
33,O=C(N[C@@H](C[C@@H]1CCCNC1=O)C(=O)C(=O)NCc1ccccc1)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1,2,BindingDB,id_33
34,O=C(N[C@@H](C[C@@H]1CCCNC1=O)C(=O)C(=O)NCc1ccccc1)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,2,BindingDB,id_34
35,COc1ccc(F)c2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N,2,BindingDB,id_35
36,COc1cccc2[nH]c(OC(=O)N[C@@H](CC(C)C)C(=O)NN(CCC(N)=O)C(=O)CCl)cc12,2,BindingDB,id_36
37,NC(=O)CCN(NC(=O)[C@H](CC1CCCCC1)NC(=O)\C=C\c1ccc(Cl)cc1F)C(=O)CCl,2,BindingDB,id_37
38,CN([C@@H](CC1CCCCC1)C(=O)NN(CCC(N)=O)C(=O)CCl)C(=O)c1cc2ccccc2[nH]1,2,BindingDB,id_38
39,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C,2.16,Pubchem&Chembl,id_39
40,CC1=C2C=C(NC2=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C=O,2.39,Pubchem&Chembl,id_40
41,CC1=C2C=C(NC2=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(O)S(=O)(=O)[O-].[Na+],2.41,Pubchem&Chembl,id_41
42,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)[C@H]1CCCN1C,2.47,BindingDB,id_42
43,CC(C)C[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)NN(C[C@@H]1CCNC1=O)C(=O)CCl,2.7,BindingDB,id_43
44,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)C2=CC3=CC=CC=C3N2,2.74,Pubchem&Chembl,id_44
45,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)C2=CC3=CC=CC=C3N2,2.8,Pubchem&Chembl,id_45
46,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO)NC(=O)C2=CC3=C(N2)C=CC=C3OC,2.94,Pubchem&Chembl,id_46
47,O=C(NCc1ccco1)[C@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,2.98,Pubchem&Chembl,id_47
48,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)CN(C)C,2.98,BindingDB,id_48
49,CC(C)C[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)NN(C[C@H]1CCNC1=O)C(=O)CCl,3,Pubchem&Chembl,id_49
50,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)C2(C)C,3,BindingDB,id_50
51,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CC(O)NC1=O)C#N)C2(C)C,3,BindingDB,id_51
52,CC(C)(CO)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)C2(C)C,3,BindingDB,id_52
53,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC1CCCCC1)C(=O)NN(CCC(N)=O)C(=O)[C@H](F)Cl,3,BindingDB,id_53
54,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)C2=CC3=C(N2)C=CC=C3OC,3.18,Pubchem&Chembl,id_54
55,C[C@H]([C@@H](C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)NC(=O)OCC3=CC=CC=C3)OC(C)(C)C,3.4,Pubchem&Chembl,id_55
56,CC(C)C[C@H](NC(=O)c1cc2c(F)cccc2[nH]1)C(=O)NN(C[C@@H]1CCNC1=O)C(=O)[C@H](F)Cl,3.8,Pubchem&Chembl,id_56
57,Cc1cc(C(=O)N[C@@H](CC2CCCCC2)C(=O)NN(CCC(N)=O)C(=O)CCl)no1,4,Pubchem&Chembl,id_57
58,Cn1cc2cc(Nc3nc(=O)n(Cc4cc5ccsc5[nH]c4=O)c(=O)n3Cc3cc(F)c(F)c(F)c3)c(Cl)cc2n1,4,Pubchem&Chembl,id_58
59,COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCCNC3=O)C(=O)COC(=O)c3cccnc3)cc12,4,Pubchem&Chembl,id_59
60,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO,4,BindingDB,id_60
61,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C(=O)COC(=O)c1cccnc1,4,BindingDB,id_61
62,CC(C)(C)C(NC(=O)C(F)(F)F)C(=O)N1CC(C[C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)C(F)(F)F,4,BindingDB,id_62
63,CC(C)(CO)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CC(=O)NC1=O)C#N)C2(C)C,4,BindingDB,id_63
64,Cc1ccc(CC(=O)N[C@H](C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N[C@@H](C[C@@H]2CCNC2=O)C#N)C3(C)C)C(C)(C)C)cc1,4,BindingDB,id_64
65,Cc1cc(no1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NN(CCC(N)=O)C(=O)CCl,4,BindingDB,id_65
66,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)NN(CCC(N)=O)C(=O)[C@@H](F)Cl,4,BindingDB,id_66
67,CC1=C2C=C(NC2=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)CO,4.13,Pubchem&Chembl,id_67
68,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1c(C)ccnc1C,4.29,BindingDB,id_68
69,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1ccccn1,4.43,BindingDB,id_69
70,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)F)C(=O)N[C@@H](C[C@@H]3CCCNC3=O)C#N)C,4.79,Pubchem&Chembl,id_70
71,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,4.8,Pubchem&Chembl,id_71
72,CC(C)C[C@H](NC(=O)c1cc2c(F)cccc2[nH]1)C(=O)NN(C[C@H]1CCNC1=O)C(=O)[C@H](F)Cl,4.8,Pubchem&Chembl,id_72
73,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NN(CC1CCCNC1=O)C(=O)CCl,5,Pubchem&Chembl,id_73
74,Cn1cnc(Cn2c(=O)nc(Nc3cc4cn(C)nc4cc3Cl)n(Cc3cc(Cl)c(F)c(Cl)c3)c2=O)n1,5,Pubchem&Chembl,id_74
75,Cn1cnc(Cn2c(=O)nc(Nc3cc4cn(C)nc4cc3Cl)n(Cc3cc(Cl)c(F)cc3F)c2=O)n1,5,Pubchem&Chembl,id_75
76,COc1ccc(F)c2[nH]c(cc12)C(=O)N[C@@H](CC(C)(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N,5,BindingDB,id_76
77,CNC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)C2(C)C)C(C)(C)C,5,BindingDB,id_77
78,CC(C)C[C@H](NC(=O)\C=C\c1ccc(Cl)cc1F)C(=O)NN(CCC(N)=O)C(=O)CCl,5,BindingDB,id_78
79,CC(C)C[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)[C@@H](F)Cl,5,BindingDB,id_79
80,CC(C)C[C@H](NC(=O)c1nc2ccccc2[nH]1)C(=O)NN(CCC(N)=O)C(=O)CCl,5,BindingDB,id_80
81,NC(=O)CCN(NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1)C(=O)[C@H](F)Cl,5,BindingDB,id_81
82,O=C(c1cc(=O)[nH]c(=O)[nH]1)N1CCN(c2ccc(Cl)c(Cl)c2)CC1,5.1,Pubchem&Chembl,id_82
83,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO)NC(=O)C2=CC3=C(N2)C=CC=C3F,5.11,Pubchem&Chembl,id_83
84,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccco1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,5.2,Pubchem&Chembl,id_84
85,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1ccnn1C,5.25,BindingDB,id_85
86,Clc1cncc(OC(=O)c2cc3ccccc3o2)c1,5.41,BindingDB,id_86
87,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1c(C)nc(nc1C)C1CCOCC1,5.5,BindingDB,id_87
88,CN([C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21)C(=O)C(=O)N(C)c1ccccc1,5.5,BindingDB,id_88
89,CC(C)C[C@H](N(C)C(=O)C(=O)Nc1nc2ccccc2o1)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21,5.5,BindingDB,id_89
90,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCCNC3=O)C#N)C,5.83,Pubchem&Chembl,id_90
91,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)c1c(C)nc(C)nc1C,5.89,BindingDB,id_91
92,Cn1cnc(Cn2c(=O)nc(Nc3cc4cn(C)nc4cc3Cl)n(Cc3cc(F)c(F)c(F)c3)c2=O)c1,6,Pubchem&Chembl,id_92
93,CC1(C)[C@H]2CN([C@@H]([C@@H]12)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)C(=O)[C@H](CC1CCC1)NC(=O)C(F)(F)F,6,BindingDB,id_93
94,NC(=O)CCN(NC(=O)[C@H](CC1CCCC1)NC(=O)OCc1ccccc1)C(=O)CCl,6,BindingDB,id_94
95,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C3CC3)C(=O)N[C@@H](C[C@@H]4CCNC4=O)C#N)C,6.1,Pubchem&Chembl,id_95
96,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(=O)C1CCN(C)CC1,6.13,BindingDB,id_96
97,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C,6.3,Pubchem&Chembl,id_97
98,CC(C)(C)C[C@@H](C(=O)NC(C[C@@H]1CCNC1=O)C(=O)C(=O)N)NC(=O)/C=C/C2=C(C=C(C=C2)Cl)F,6.31,Pubchem&Chembl,id_98
