inner_ID,Ligand SMILES,IC50 (nM),ref,onlyligand_token
id_4104,OC(=O)c1ccc(C=C2C(=O)N(N=C2c2ccccc2)c2ccc(F)cc2)cc1,6800,BindingDB,"['O0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0', 'C0', 'C0', 'C0']"
id_6164,Cc1ccncc1NC(=O)Cc1cccc(F)c1,95800,BindingDB,"['C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'C0']"
id_5961,Clc1cccc(CC(=O)NC2COCc3ccccc23)c1,69000,BindingDB,"['Cl6', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_5418,CCOC(O)=C(\C=N\c1ccc(cc1)S(=O)(=O)c1ccc(NC=C(C(=O)OCC)C(=O)OCC)cc1)C(=O)OCC,32000,BindingDB,"['C0', 'C0', 'O0', 'C0', 'O0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'S6', 'O0', 'O0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'O0', 'O0', 'C0', 'C0', 'C0', 'O0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'O0', 'C0', 'C0']"
id_86,Clc1cncc(OC(=O)c2cc3ccccc3o2)c1,5.41,BindingDB,"['Cl6', 'C0', 'C0', 'N1', 'C0', 'C0', 'O0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0']"
id_3209,Cc1cccn2ncc(NC(=O)C3CNC(=O)c4ccc(Cl)cc43)c12,2399.768175,Moonshot,"['C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'N1', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0', 'C0']"
id_3817,C1=CC=C2C(=C1)C=NC=C2NC(=O)CC3=CC(=CC(=C3)Cl)C4=NC=NN4,5300,Pubchem&Chembl,"['C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'N1', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'N1', 'C3', 'N1', 'N1']"
id_1377,O=C(Cn1sc2cccc(C(F)(F)F)c2c1=O)Nc1ccccc1,224.2,Pubchem&Chembl,"['O0', 'C0', 'C0', 'N1', 'S2', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1', 'F1', 'F1', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0']"
id_4942,C[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,19498.28661,Moonshot,"['C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'Cl6', 'C0', 'C0']"
id_2992,COC1=CC=CC=C1OCCNC(=O)C2=CC(=O)N=C3C2C(=CC=C3)F,1830,Pubchem&Chembl,"['C0', 'O0', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'O0', 'C0', 'C0', 'N1', 'C0', 'O0', 'C0', 'C0', 'C0', 'O0', 'N1', 'C0', 'C0', 'C0', 'C0', 'C0', 'C0', 'F1']"
